Entity,Code,Year,CO2
Singapore,SGP,1950,1.872732
Singapore,SGP,1951,2.645859
Singapore,SGP,1952,3.072595
Singapore,SGP,1953,2.955614
Singapore,SGP,1954,3.041367
Singapore,SGP,1955,3.10559
Singapore,SGP,1956,2.983172
Singapore,SGP,1957,1.200978
Singapore,SGP,1958,1.523427
Singapore,SGP,1959,1.144417
Singapore,SGP,1960,0.852615
Singapore,SGP,1961,1.237955
Singapore,SGP,1962,1.479199
Singapore,SGP,1963,1.898131
Singapore,SGP,1964,2.01626
Singapore,SGP,1965,1.345755
Singapore,SGP,1966,0.350491
Singapore,SGP,1967,1.558894
Singapore,SGP,1968,2.710618
Singapore,SGP,1969,3.536724
Singapore,SGP,1970,8.780155
Singapore,SGP,1971,7.852739
Singapore,SGP,1972,10.333995
Singapore,SGP,1973,9.680095
Singapore,SGP,1974,9.859288
Singapore,SGP,1975,10.848585
Singapore,SGP,1976,13.105515
Singapore,SGP,1977,12.20948
Singapore,SGP,1978,14.14278
Singapore,SGP,1979,15.1948
Singapore,SGP,1980,12.994728
Singapore,SGP,1981,10.865727
Singapore,SGP,1982,11.757654
Singapore,SGP,1983,13.48716
Singapore,SGP,1984,12.563107
Singapore,SGP,1985,12.293647
Singapore,SGP,1986,12.627269
Singapore,SGP,1987,11.523081
Singapore,SGP,1988,12.512774
Singapore,SGP,1989,14.201125
Singapore,SGP,1990,14.699819
Singapore,SGP,1991,14.527381
Singapore,SGP,1992,15.066458
Singapore,SGP,1993,15.387511
Singapore,SGP,1994,17.95801
Singapore,SGP,1995,11.866644
Singapore,SGP,1996,13.564935
Singapore,SGP,1997,15.477546
Singapore,SGP,1998,12.524323
Singapore,SGP,1999,12.609486
Singapore,SGP,2000,12.126161
Singapore,SGP,2001,12.127078
Singapore,SGP,2002,11.494323
Singapore,SGP,2003,11.987611
Singapore,SGP,2004,11.218314
Singapore,SGP,2005,8.548474
Singapore,SGP,2006,9.778435
Singapore,SGP,2007,10.377466
Singapore,SGP,2008,12.054529
Singapore,SGP,2009,18.139271
Singapore,SGP,2010,11.034845
Singapore,SGP,2011,5.750754
Singapore,SGP,2012,8.967212
Singapore,SGP,2013,9.968176
Singapore,SGP,2014,9.990798
Singapore,SGP,2015,11.110595
Singapore,SGP,2016,7.12322
Singapore,SGP,2017,6.844003
Singapore,SGP,2018,6.649542
Singapore,SGP,2019,6.709993
